Concept ID,Dependency Count
K_18-氧化酶缺乏症_医学,0
K_IP地址_计算机科学技术,14
K_ML语言_计算机科学技术,1
K_Q学习_计算机科学技术,0
K_T_决策理论与方法_管理科学技术,0
K_T_原子核物理学_物理学,0
K_T_国际共产主义运动_世界历史,0
K_T_孔加工_机械工程,0
K_T_摩擦学一般名词_机械工程,0
K_T_朝鲜语_语言学,0
K_T_民族语言学_语言学,0
K_T_熔焊_机械工程,0
K_T_电化学分析_化学,0
K_T_相对论_物理学,0
K_T_神经外科学_医学,0
K_T_绝缘子_电气工程,0
K_T_胶黏剂与涂料_材料科学技术,0
K_T_航天发射试验与地面设备_航天科学技术,0
K_T_运行_机械工程,0
K_T_造型材料测试仪器_机械工程,0
K_T_集合论_数学,0
K_V型泵_机械工程,0
K_[质谱]峰宽_机械工程,0
K_[通态]斜率电阻_电气工程,0
K_[顶]点独立数_数学,0
K_n重轴_物理学,0
K_γ/δT细胞_免疫学,0
K_γ射线探伤机_机械工程,0
K_Ⅲ类亚类错_医学,0
K_一元二次方程_数学,1
K_一元运算_数学,3
K_丁钠橡胶_材料科学技术,0
K_万寿菊_农学,0
K_万维网数据抽取_计算机科学技术,0
K_三个世界理论_世界历史,0
K_三波_机械工程,0
K_三角插值_数学,0
K_上极限函数_数学,0
K_下界_数学,1
K_不全并趾_医学,0
K_不可否认性_管理科学技术,0
K_不可拆软电缆_电气工程,0
K_不能工作时间_电气工程,0
K_中国肺结核病分类法_医学,0
K_中国近代建筑团体_建筑学,0
K_中央窝_医学,0
K_串联造船法_船舶工程,0
K_临时工程_管理科学技术,0
K_主动脉冠状动脉桡动脉旁路移植术_医学,0
K_主时间数据法_管理科学技术,0
K_主柴油机_船舶工程,0
K_举升能力_机械工程,0
K_义颌_医学,0
K_乘法_数学,11
K_乳腺萎缩_医学,0
K_事务分析_管理科学技术,0
K_二分搜索_计算机科学技术,2
K_二向色镜_机械工程,0
K_二端网络_电子学,0
K_二等韵_语言学,0
K_二进制_数学,10
K_互联网_计算机科学技术,11
K_互连网络_计算机科学技术,4
K_亚眠宪章_世界历史,0
K_交叉反应_免疫学,0
K_交换式以太网_计算机科学技术,1
K_交通出入口方位_建筑学,0
K_人工免疫系统预测模型_管理科学技术,0
K_人工智能逻辑_计算机科学技术,0
K_人工辐射带_航天科学技术,0
K_人造元素_化学,0
K_人造卫星_航天科学技术,0
K_代数_数学,31
K_代数和_数学,1
K_代数的_数学,16
K_代码转换器_机械工程,0
K_以太网_计算机科学技术,17
K_优势规则_管理科学技术,0
K_优等生课程_教育学,0
K_传输层_计算机科学技术,8
K_传递函数[矩]阵_数学,0
K_传递函数_数学,1
K_伯利假旋转机理_化学,0
K_位错对_材料科学技术,0
K_低副运动链_机械工程,0
K_低温分离器_机械工程,0
K_低温雪崩开关_物理学,0
K_体态语言学_语言学,0
K_余σ函数_数学,0
K_余数_数学,4
K_作用力_物理学,0
K_侗语_语言学,0
K_供气系统_航天科学技术,0
K_依法治教_教育学,0
K_保守党_世界历史,0
K_信号处理_计算机科学技术,3
K_信息交换_计算机科学技术,4
K_信息分析_计算机科学技术,1
K_信息加工_管理科学技术,0
K_信息过滤_管理科学技术,0
K_信道容量_数学,1
K_倍数_数学,2
K_倒易[单]胞_物理学,0
K_偏正复句_语言学,0
K_偏近点角_航天科学技术,0
K_停止器_机械工程,0
K_停炉保护_机械工程,0
K_催化活性位_化学,0
K_像_机械工程,0
K_儿童本位论_教育学,0
K_允许发送_计算机科学技术,2
K_允许误差_化学,0
K_充分条件_数学,2
K_充电_电气工程,0
K_光学头_计算机科学技术,0
K_光束中心_机械工程,0
K_光电解池_化学,0
K_光谱分析_物理学,0
K_光透薄层电极_化学,0
K_入侵防御系统_计算机科学技术,1
K_入度_计算机科学技术,1
K_全图_数学,1
K_公共锥顶_机械工程,0
K_公式_数学,1
K_共振积分_物理学,0
K_共线_数学,1
K_关税及贸易总协定_世界历史,0
K_关系代数_计算机科学技术,1
K_关联矩阵_计算机科学技术,1
K_关联规则_计算机科学技术,0
K_关键词_管理科学技术,0
K_内片_机械工程,0
K_冒口_材料科学技术,0
K_农业矿物_材料科学技术,0
K_农业试验_农学,0
K_农村节能炉窑_建筑学,0
K_冲击冷却_机械工程,0
K_冲击脉冲持续时间_机械工程,0
K_冲压_机械工程,0
K_冲突检测_计算机科学技术,1
K_冲齿轮_机械工程,0
K_决策_数学,1
K_冷灰斗_机械工程,0
K_冷热空气试验_医学,0
K_冻害_农学,0
K_准电子_物理学,0
K_减法_数学,8
K_函数_数学,5
K_分布式计算_计算机科学技术,1
K_分支_数学,1
K_分支光缆_电气工程,0
K_分散库存控制_管理科学技术,0
K_分次环_数学,0
K_分立技能_心理学,0
K_切割磁铁_电气工程,0
K_切端外展隙_医学,0
K_切线伤_医学,0
K_刚性转子_机械工程,0
K_创伤后骨萎缩_医学,0
K_创造集_数学,0
K_初始状态_计算机科学技术,1
K_初次免疫应答_医学,0
K_删信码_电子学,0
K_刷水_机械工程,0
K_前侧开移式冷藏陈列柜_机械工程,0
K_功率突变影响试验_机械工程,0
K_功能高分子_化学,0
K_加工硬化指数_材料科学技术,0
K_加性效应_农学,0
K_加数_数学,3
K_加法_数学,10
K_加速踏板位置传感器_机械工程,0
K_动力转向器_机械工程,0
K_动态力学试验_电气工程,0
K_动态规划嵌入原理_管理科学技术,0
K_勘查阶梯式发展_自然辩证法,0
K_包析反应_材料科学技术,0
K_匐行性血管瘤_医学,0
K_化整误差_机械工程,0
K_北方方言_语言学,0
K_北美防空协定_世界历史,0
K_区位因子_地理学,0
K_区间_数学,5
K_医学_教育学,0
K_医学模式_自然辩证法,0
K_半喂入水稻联合收割机_农学,0
K_协议控制信息_计算机科学技术,1
K_协议数据单元_计算机科学技术,6
K_协议族_计算机科学技术,2
K_单一银行制度_管理科学技术,0
K_单位脉冲信号_电气工程,0
K_单向函数_计算机科学技术,1
K_单向纤维复合材料_航天科学技术,0
K_单播_计算机科学技术,1
K_单斜辉石_地质学,0
K_单臂路由器_计算机科学技术,1
K_卡尔马联盟_世界历史,0
K_卡拉泰奥多里存在定理_数学,0
K_卡洛维阶_地质学,0
K_卡装_电气工程,0
K_印度瓦尔那制度_世界历史,0
K_即时通信_计算机科学技术,2
K_即期利率_管理科学技术,0
K_卷曲_化学,0
K_卷门_建筑学,0
K_历史词典_语言学,0
